year	pid	full_name	first_name	affiliation
2015	5643445	A.  James McAdams	A.  James	University of Notre Dame
2021	13093656	A. Bradley Potter	A.	Johns Hopkins University, SAIS
2015	5493652	A. Burcu Bayram	A. Burcu	University of Texas Arlington
2019	10108839	A. Burcu Bayram	A. Burcu	University of Arkansas
2020	11310625	A. Burcu Bayram	A. Burcu	University of Arkansas
2021	13098927	A. Burcu Bayram	A. Burcu	University of Arkansas
2019	10053481	A. James McAdams	A. James	University of Notre Dame
2016	6861006	A. Maurits van der Veen	A. Maurits	College of William & Mary
2019	10115302	A. Maurits van der Veen	A. Maurits	College of William & Mary
2020	11309377	A. Maurits van der Veen	A. Maurits	College of William & Mary
2021	13097820	A. Maurits van der Veen	A. Maurits	College of William & Mary
2016	7392292	A. Stanley Meiburg	A. Stanley	U.S. Environmental Protection Agency
2015	5650168	A. Tannenbaum	A.	Gettysburg College
2018	9052657	A.Kadir Yildirim	A.Kadir	Rice University
2019	10113570	A.Kadir Yildirim	A.Kadir	Rice University
2020	11308735	A.Kadir Yildirim	A.Kadir	Rice University
2019	10130735	A.R. Pashayan	A.R.	Howard University, Washington DC
2021	13099067	A.R. Pashayan	A.R.	Howard University
2018	8955790	Aaditya Dar	Aaditya	George Washington University
2019	10114624	Aala Abdelgadir	Aala	Stanford University
2020	11283800	Aala Abdelgadir	Aala	Stanford University
2021	13077304	Aala Abdelgadir	Aala	Stanford University
2016	6868004	Aarie Glas	Aarie	University of Toronto
2017	7946315	Aarie Glas	Aarie	University of Toronto
2018	8955132	Aarie Glas	Aarie	Northern Illinois University
2019	10112613	Aarie Glas	Aarie	Northern Illinois University
2020	11187720	Aarie Glas	Aarie	Northern Illinois University
2021	13102232	Aarie Glas	Aarie	Northern Illinois University
2020	12276084	Aaron Abbarno	Aaron	Democracy International
2020	11310940	Aaron Alexander Zubia	Aaron	Furman University
2020	12275454	Aaron Cardoso	Aaron	University of California - Santa Cruz
2019	10056866	Aaron D. Hoffman	Aaron	Bellarmine University
2017	7960284	Aaron Deslatte	Aaron	Northern Illinois University
2018	8945430	Aaron Deslatte	Aaron	Northern Illinois University
2021	13092121	Aaron Deslatte	Aaron	Indiana University Bloomington
2018	9004776	Aaron F. Brantly	Aaron	Virginia Polytechnic and State University
2019	10064858	Aaron F. Brantly	Aaron	Virginia Polytechnic and State University
2021	13102621	Aaron Gold	Aaron	Sewanee: The University of the South
2018	8948496	Aaron H. Berg	Aaron	California State University, Fullerton
2020	11306205	Aaron H. Berg	Aaron	California State University, Fullerton
2021	13104770	Aaron Hitefield	Aaron	University of Georgia
2015	5603597	Aaron J. Ley	Aaron	University of Rhode Island
2018	8954844	Aaron Javsicas	Aaron	Temple University Press
2019	10113655	Aaron Javsicas	Aaron	Temple University Press
2016	6863794	Aaron L Herold	Aaron	SUNY Geneseo
2018	9048572	Aaron L Herold	Aaron	SUNY Geneseo
2018	8989104	Aaron L. Friedberg	Aaron	
2021	13029783	Aaron L. Friedberg	Aaron	
2018	9006380	Aaron M. Hoffman	Aaron	Purdue University
2018	8954848	Aaron Mannes	Aaron	AAAS
2019	10117800	Aaron Mannes	Aaron	University of Maryland
2015	6698895	Aaron Martin	Aaron	University of Melbourne
2018	9017826	Aaron Rapport	Aaron	University of Cambridge
2019	10130395	Aaron Rosenthal	Aaron	Simmons College
2021	13098046	Aaron Rosenthal	Aaron	Simmons University
2021	13055635	Aaron Rudkin	Aaron	UCLA
2021	13073959	Aaron Russell Kaufman	Aaron	New York University Abu Dhabi
2016	6868436	Aaron S. Erlich	Aaron	McGill University
2018	8954888	Aaron S. Erlich	Aaron	McGill University
2019	10096074	Aaron S. Erlich	Aaron	McGill University
2020	11309047	Aaron S. Erlich	Aaron	McGill University
2021	13100366	Aaron S. Erlich	Aaron	McGill University
2019	10012563	Aaron S. King	Aaron	University of North Carolina Wilmington
2015	5651523	Aaron Schneider	Aaron	University of Denver
2019	10024156	Aaron Schneider	Aaron	University of Denver
2020	11302981	Aaron Schneider	Aaron	University of Denver
2018	8990484	Aaron Shaw	Aaron	Northwestern University
2020	11248016	Aaron Shreve	Aaron	Randolph College
2021	13108321	Aaron Shreve	Aaron	Randolph College
2019	10236519	Aaron Stanley	Aaron	
2021	13020601	Aaron Wachhaus	Aaron	
2018	9306301	Aaron Y. Zelin	Aaron	King's College London
2019	10236740	Aashish Mehta	Aashish	University of California, Santa Barbara
2021	13104288	Abbas Mammadov	Abbas	Washington State University
2017	7938116	Abbey Steele	Abbey	University of Amsterdam
2018	8948040	Abbey Steele	Abbey	University of Amsterdam
2015	5647541	Abby B. Cordova	Abby	University of Kentucky
2019	10018566	Abby B. Cordova	Abby	University of Kentucky
2020	11301428	Abby B. Cordova	Abby	University of Notre Dame
2021	13090466	Abby B. Cordova	Abby	University of Notre Dame
2016	6923139	Abby K. Wood	Abby	
2017	7948512	Abby K. Wood	Abby	USC
2020	11275144	Abby K. Wood	Abby	USC
2018	9307326	Abby M Fanlo	Abby	Stanford University
2019	10112418	Abby M Fanlo	Abby	Stanford University
2020	11281930	Abby M Fanlo	Abby	Stanford University
2021	13104929	Abby M Fanlo	Abby	Stanford University
2017	7987170	Abby Paulson	Abby	American Political Science Association
2018	9023118	Abby Paulson	Abby	American Political Science Association
2019	10080177	Abby Paulson	Abby	American Political Science Association
2020	11301318	Abby Paulson	Abby	American Political Science Association
2018	8948097	Abdel-Fattah Mady	Abdel-Fattah	Alexandria University
2019	10114190	Abdel-Fattah Mady	Abdel-Fattah	Alexandria University
2021	13102717	Abdel-Fattah Mady	Abdel-Fattah	Alexandria University
2019	10123027	Abdul G. Noury	Abdul	New York University Abu Dhabi
2021	13094134	Abdul G. Noury	Abdul	New York University Abu Dhabi
2016	6962736	Abdul-Gafaru Abdulai	Abdul-Gafaru	University of Ghana Business School
2020	11203907	Abdul-Gafaru Abdulai	Abdul-Gafaru	University of Ghana Business School
2021	13399811	Abdul-jabiru Adam	Abdul-jabiru	Yonsei University
2018	8948499	Abdullah Aydogan	Abdullah	Rice University
2021	13398233	Abdullatif Köksal	Abdullatif	Boğaziçi University
2020	11311024	Abed El Qadir Kanaaneh	Abed	Ruhr University Bochum
2019	10207906	Abel Bojar	Abel	European University Institute
2020	11237863	Abel Escriba-Folch	Abel	Institut Barcelona d'Estudis Internacionals
2020	12215461	Abelardo Gómez Díaz	Abelardo	Universitat Pompeu Fabra
2018	9035888	Aberdeen Berry	Aberdeen	
2019	10090779	Aberdeen Berry	Aberdeen	
2021	13058477	Aberdeen Berry	Aberdeen	
2020	11210536	Abhay Aneja	Abhay	UC Berkeley
2021	13017558	Abhay Aneja	Abhay	UC Berkeley
2015	5660269	Abhishek Chatterjee	Abhishek	University of Montana
2016	6862238	Abhishek Chatterjee	Abhishek	University of Montana
2017	7936231	Abhishek Chatterjee	Abhishek	University of Montana
2018	8948545	Abhishek Chatterjee	Abhishek	University of Montana
2020	11298581	Abhishek Chatterjee	Abhishek	University of Montana
2021	13107978	Abhishek Chatterjee	Abhishek	University of Montana
2019	10234120	Abhishek Dasgupta	Abhishek	University of Oxford
2018	8948539	Abhit Bhandari	Abhit	Columbia University
2019	10018909	Abhit Bhandari	Abhit	Columbia University
2020	11188790	Abhit Bhandari	Abhit	Temple University
2021	13101329	Abhit Bhandari	Abhit	Temple University
2020	13114769	Abhradeep Guha Guha Thakurta	Abhradeep	University of California Santa Cruz
2018	8948518	Abida Bano	Abida	University of Peshawar, Pakistan
2019	10235126	Abigail Burnett	Abigail	Washington College
2021	13108884	Abigail Dym	Abigail	University of Pennsylvania
2019	10233755	Abigail E. Coplin	Abigail	University of Pennsylvania
2020	11303650	Abigail E. Coplin	Abigail	Vassar College
2021	13092565	Abigail E. Coplin	Abigail	Vassar College
2017	7893359	Abigail Fisher Williamson	Abigail	Trinity College
2018	8948516	Abigail Fisher Williamson	Abigail	Trinity College
2019	10114698	Abigail Fisher Williamson	Abigail	Trinity College
2020	11309326	Abigail Fisher Williamson	Abigail	Trinity College
2021	13097779	Abigail Fisher Williamson	Abigail	Trinity College
2021	13154527	Abigail Kielty	Abigail	Ohio State University
2018	8989218	Abigail L Heller	Abigail	Emory University
2019	10052337	Abigail L Heller	Abigail	Emory University
2018	8991755	Abigail L. Rosenthal	Abigail	Brooklyn College of The City University of New York.
2019	10054410	Abigail L. Rosenthal	Abigail	Brooklyn College of the City of New York
2020	11306383	Abigail L. Rosenthal	Abigail	Brooklyn College of the City of New York
2021	13095063	Abigail L. Rosenthal	Abigail	Brooklyn College of the City of New York
2021	13398497	Abigail Lee Bitterman	Abigail	University of Oklahoma
2021	13005638	Abigail M. York	Abigail	Arizona State University
2020	11194765	Abigail Marie Staysa	Abigail	University of Notre Dame
2021	13005639	Abigail Marie Staysa	Abigail	University of Notre Dame
2016	6867440	Abigail Post	Abigail	University of Virginia
2019	10130397	Abigail Post	Abigail	Anderson University
2020	11298651	Abigail Post	Abigail	Anderson University
2018	8991626	Abigail Vaughn	Abigail	University of California, San Diego
2019	10013022	Abigail Vaughn	Abigail	Princeton University
2021	13095057	Abigail Vaughn	Abigail	Georgia Tech
2018	9266502	Abigail Vegter	Abigail	
2019	10110917	Abigail Vegter	Abigail	University of Kansas
2021	13000929	Abigail Vegter	Abigail	University of Kansas
2018	9308056	Abiola Oyebanjo	Abiola	University of Lagos
2016	6869168	Abraham A. Singer	Abraham	University of Rochester
2019	10016995	Abraham A. Singer	Abraham	Loyola University Chicago
2020	11208230	Abraham A. Singer	Abraham	Loyola University Chicago
2021	13096990	Abraham Goldberg	Abraham	James Madison University
2016	6862280	Abraham Newman	Abraham	Georgetown University
2018	8992148	Abraham Newman	Abraham	Georgetown University
2019	10109890	Abraham Newman	Abraham	Georgetown University
2021	13073670	Abraham Newman	Abraham	Georgetown University
2018	8959114	Abraham Samuel Aldama Navarrete	Abraham	New York University
2019	10113215	Abraham Samuel Aldama Navarrete	Abraham	New York University
2020	11309405	Abraham Samuel Aldama Navarrete	Abraham	University of Pennsylvania
2019	10232875	Abrak Saati	Abrak	Department of Political Science, Umeå University
2020	11303362	Abrak Saati	Abrak	Department of Political Science, Umeå University
2021	13376046	Abu B Bah	Abu	Northern Illinois University
2020	11192845	Abubakar Mohammed	Abubakar	Usmanu Danfodiyo University, Sokoto
2021	13394273	Achim Ahrens	Achim	
2020	11306905	Ada Johnson-Kanu	Ada	University of California, Merced
2021	13105248	Ada Johnson-Kanu	Ada	University of California, Merced
2021	13003808	Adam Almqvist	Adam	University of Chicago
2018	8947916	Adam Badawy	Adam	University of Southern California
2018	8944280	Adam Bennett	Adam	
2020	11194817	Adam Bernbaum	Adam	George Mason University
2016	6867993	Adam Bonica	Adam	Stanford University
2017	7946446	Adam Bonica	Adam	Stanford University
2019	10088644	Adam Bonica	Adam	Stanford University
2021	13069078	Adam Bonica	Adam	Stanford University
2018	9035904	Adam Casey	Adam	University of Toronto
2019	10011832	Adam Casey	Adam	University of Toronto
2020	11193727	Adam Chamberlain	Adam	Coastal Carolina University
2021	13005014	Adam Chamberlain	Adam	Coastal Carolina University
2018	9306944	Adam Churchard	Adam	York University
2016	6865999	Adam Dean	Adam	Middlebury College
2017	7932860	Adam Dean	Adam	Middlebury College
2018	9015114	Adam Dean	Adam	George Washington University
2019	10072740	Adam Dean	Adam	George Washington University
2021	13107029	Adam E. Casey	Adam	University of Michigan
2018	9015391	Adam Feldman	Adam	University of Southern California
2018	9004988	Adam G. Hughes	Adam	Pew Research Center
2019	10110201	Adam G. Hughes	Adam	Pew Research Center
2020	11309634	Adam G. Hughes	Adam	Pew Research Center
2019	10114073	Adam G. Lichtenheld	Adam	Yale University
2021	13076898	Adam G. Lichtenheld	Adam	Yale University
2018	8965796	Adam Glynn	Adam	Emory University
2019	10066205	Adam H. Hoffman	Adam	Salisbury University
2016	6900286	Adam H. Meirowitz	Adam	
2015	5640905	Adam Harris	Adam	University of Gothenburg
2018	9015378	Adam Harris	Adam	University College London
2019	10073653	Adam Harris	Adam	University College London
2020	11246183	Adam Harris	Adam	University College London
2021	13045069	Adam Harris	Adam	University College London
2018	9006354	Adam Hilton	Adam	Mount Holyoke College
2019	10111676	Adam Hilton	Adam	Mount Holyoke College
2021	13075053	Adam Hilton	Adam	Mount Holyoke College
2018	8944687	Adam Howat	Adam	Northwestern University
2019	10107977	Adam Howe	Adam	Fairfield University
2021	13043866	Adam J Lê	Adam	University of Minnesota
2015	5639034	Adam J. Berinsky	Adam	
2018	9045826	Adam J. Berinsky	Adam	
2020	11278195	Adam J. Berinsky	Adam	
2021	13072301	Adam J. Berinsky	Adam	
2018	8944306	Adam J. Dahl	Adam	University of Massachusetts, Amherst
2019	10117584	Adam J. Dahl	Adam	University of Massachusetts, Amherst
2020	11286386	Adam J. Dahl	Adam	University of Massachusetts, Amherst
2021	13079568	Adam J. Dahl	Adam	University of Massachusetts, Amherst
2020	11263990	Adam J. Newmark	Adam	Appalachian State University
2017	7946048	Adam J. Schiffer	Adam	Texas Christian University
2019	10015833	Adam James White	Adam	University of Sheffield
2021	13106259	Adam Jordan Nafa	Adam	University of North Texas
2019	10014230	Adam Jungdahl	Adam	National Intelligence University
2019	10015572	Adam Koon	Adam	Johns Hopkins University, Bloomberg School of Public Health
2021	13098039	Adam Koon	Adam	Johns Hopkins University, Bloomberg School of Public Health
2018	9311127	Adam L Ozer	Adam	University of Houston
2021	13092962	Adam L Ozer	Adam	Electoral Psychology Observatory, London School of Economics
2019	10108861	Adam L. Ozer	Adam	University of Houston
2016	6891998	Adam L. Warber	Adam	Clemson University
2017	7852502	Adam L. Warber	Adam	Clemson University
2018	9006664	Adam L. Warber	Adam	Clemson University
2019	10118963	Adam L. Warber	Adam	Clemson University
2020	11287576	Adam L. Warber	Adam	Clemson University
2021	13080524	Adam L. Warber	Adam	Clemson University
2016	6959556	Adam Lebovitz	Adam	
2018	8944739	Adam Lebovitz	Adam	
2020	11191941	Adam Lebovitz	Adam	Trinity Hall, Cambridge
2021	13104236	Adam Lebovitz	Adam	Trinity Hall, Cambridge
2019	10130582	Adam Lerner	Adam	University of Cambridge
2020	11298758	Adam Lerner	Adam	Royal Holloway, University of London
2017	7891243	Adam M Carrington	Adam	Hillsdale College
2018	8946545	Adam M Carrington	Adam	Hillsdale College
2019	10112559	Adam M Carrington	Adam	Hillsdale College
2021	13098851	Adam M Carrington	Adam	Hillsdale College
2017	7855783	Adam M. Enders	Adam	University of Louisville
2018	8990442	Adam M. Enders	Adam	University of Louisville
2019	10053578	Adam McGlynn	Adam	East Stroudsburg University
2015	5645368	Adam Michael Auerbach	Adam	American University
2017	7947093	Adam Michael Auerbach	Adam	American University-SIS
2018	9012839	Adam Michael Auerbach	Adam	American University-SIS
2019	10112454	Adam Michael Auerbach	Adam	American University-SIS
2021	13075654	Adam Michael Auerbach	Adam	American University-SIS
2018	8944720	Adam Michael Dynes	Adam	Brigham Young University
2019	10118476	Adam Michael Dynes	Adam	Brigham Young University
2015	5715269	Adam Myers	Adam	
2018	9027546	Adam Myers	Adam	Providence College
2019	10130641	Adam Myers	Adam	Providence College
2018	8989241	Adam P. Liff	Adam	Indiana University SGIS
2018	8944440	Adam Przeworski	Adam	New York University
2019	10015708	Adam Przeworski	Adam	New York University
2020	11191750	Adam Przeworski	Adam	New York University
2021	13003742	Adam Przeworski	Adam	New York University
2017	8209300	Adam R Lioz	Adam	Demos
2021	13029563	Adam R Lioz	Adam	Demos
2020	11300772	Adam R. Brown	Adam	Brigham Young University
2018	9003659	Adam R. Culver	Adam	Peabody Institute of the Johns Hopkins University
2015	5508850	Adam Ramey	Adam	New York University Abu Dhabi
2018	8944430	Adam Ramey	Adam	New York University Abu Dhabi
2019	10113935	Adam Ramey	Adam	New York University Abu Dhabi
2020	11283210	Adam Ramey	Adam	New York University Abu Dhabi
2021	13076793	Adam Ramey	Adam	New York University Abu Dhabi
2021	13038223	Adam Roberts	Adam	Columbia University
2018	8944563	Adam Scharpf	Adam	University of Mannheim
2019	10015794	Adam Scharpf	Adam	GIGA - German Institute of Global and Area Studies
2020	11199081	Adam Scharpf	Adam	GIGA - German Institute of Global and Area Studies
2018	8944857	Adam Scott Kunz	Adam	University of Wisconsin-Eau Claire
2021	13104928	Adam Scott Kunz	Adam	University of Wisconsin-Eau Claire
2017	7893031	Adam Seagrave	Adam	University of Missouri, Columbia
2018	8942320	Adam Seagrave	Adam	Arizona State University
2020	11306017	Adam Seagrave	Adam	Arizona State University
2016	6863864	Adam Seth Levine	Adam	Cornell University
2017	7951808	Adam Seth Levine	Adam	Cornell University
2018	9013486	Adam Seth Levine	Adam	Cornell University
2019	10072057	Adam Seth Levine	Adam	Cornell University
2020	11244666	Adam Seth Levine	Adam	Johns Hopkins University
2021	13106210	Adam Seth Levine	Adam	Johns Hopkins University
2016	6860836	Adam Sheingate	Adam	Johns Hopkins University
2020	11280290	Adam Sheingate	Adam	Johns Hopkins University
2015	5713544	Adam Sitze	Adam	Amherst College
2018	8987752	Adam Thal	Adam	Yale University
2019	10119013	Adam Thal	Adam	Yale University
2020	11287614	Adam Thal	Adam	Yale University
2017	7928741	Adam W. Ziegfeld	Adam	George Washington University
2019	10104739	Adam W. Ziegfeld	Adam	Temple University
2017	7926019	Adam White	Adam	Hoover Institution
2019	10016011	Adam White	Adam	American Enterprise Institute
2018	9006152	Adam William Chalmers	Adam	King's College London
2019	10066045	Adam William Chalmers	Adam	King's College London
2020	11300737	Adam Woodhouse	Adam	
2019	10015514	Adam Wunische	Adam	Boston College
2021	13090956	Adam Wunische	Adam	Boston College
2020	11298404	Adam Zaid Austin Bouyamourn	Adam	UC Berkeley
2019	10231137	Adanna Chukwuma	Adanna	Harvard University
2021	13398547	Addie Perez	Addie	Rollins College
2021	13398739	Addison Daniel Huygens	Addison	University of Iowa
2021	13366342	Adea Gafuri	Adea	University of Gothenburg
2018	8945832	Adebola Olayinka	Adebola	Duke University
2021	13386102	Adeel Malik	Adeel	University of Oxford
2021	13107577	Adekunle Saheed Ajisebiyawo	Adekunle	Igbinedion University, Okada
2017	8209670	Adele Del Sordi	Adele	University of Amsterdam
2018	8945617	Adele Lebano	Adele	Uppsala University
2019	10112248	Adele Lebano	Adele	Uppsala University
2020	11282769	Adele Lebano	Adele	Uppsala University
2016	6934889	Adeline Lo	Adeline	Princeton University
2017	7905980	Adeline Lo	Adeline	Princeton University
2018	8945580	Adeline Lo	Adeline	Princeton University
2020	11306125	Adeline Lo	Adeline	University of Wisconsin, Madison
2021	13104625	Adeline Lo	Adeline	University of Wisconsin, Madison
2020	11303118	Adib Bencherif	Adib	Université de Sherbrooke
2018	9031550	Aditi Malik	Aditi	College of the Holy Cross
2020	11258978	Aditi Malik	Aditi	College of the Holy Cross
2021	13104727	Aditi Malik	Aditi	College of the Holy Cross
2018	8945637	Aditi Rajeev Shirodkar	Aditi	University of Chicago
2019	10016700	Aditi Rajeev Shirodkar	Aditi	University of Chicago
2021	13105211	Aditi Rajeev Shirodkar	Aditi	University of Chicago
2017	7869076	Aditya Dasgupta	Aditya	Stanford University
2018	8945154	Aditya Dasgupta	Aditya	Stanford University
2019	10114385	Aditya Dasgupta	Aditya	University of California, Merced
2020	11310472	Aditya Dasgupta	Aditya	University of California, Merced
2021	13098782	Aditya Dasgupta	Aditya	University of California, Merced
2018	8967644	Adnan Naseemullah	Adnan	King's College London
2019	10118514	Adnan Naseemullah	Adnan	King's College London
2021	13099281	Adnan Naseemullah	Adnan	King's College London
2016	6959522	Adnan Vatansever	Adnan	King's College London
2019	10110461	Adnan Vatansever	Adnan	King's College London
2016	6873376	Adolph L. Reed	Adolph	
2016	6867392	Adom Getachew	Adom	University of Chicago
2017	7855194	Adom Getachew	Adom	University of Chicago
2018	9004991	Adom Getachew	Adom	University of Chicago
2019	10113805	Adom Getachew	Adom	University of Chicago
2015	5662640	Adria Lawrence	Adria	Yale University
2018	8942854	Adria Lawrence	Adria	Johns Hopkins University
2019	10116746	Adria Lawrence	Adria	Johns Hopkins University
2021	13037252	Adria Lawrence	Adria	Johns Hopkins University
2018	8972269	Adrián Albala	Adrián	University of Sao Paulo
2018	8955133	Adrian Arellano	Adrian	University of Michigan
2019	10024380	Adrian Arellano	Adrian	University of Michigan
2019	10014494	Adrian Blau	Adrian	King's College London
2019	10019649	Adrian del Rio	Adrian	European University Institute
2021	13376043	Adrian Favell	Adrian	University of Leeds
2020	11311596	Adrián Félix	Adrián	University of California Riverside
2019	10111933	Adrian Florea	Adrian	University of Glasgow
2016	6868351	Adrian J. Shin	Adrian	University of Colorado, Boulder
2017	7855631	Adrian J. Shin	Adrian	University of Colorado, Boulder
2018	8942886	Adrian J. Shin	Adrian	University of Colorado, Boulder
2019	10118345	Adrian J. Shin	Adrian	University of Colorado, Boulder
2018	8942884	Adrian Lucardi	Adrian	ITAM
2019	10117609	Adrian Lucardi	Adrian	ITAM
2021	13079569	Adrian Lucardi	Adrian	ITAM
2018	9012655	Adrian Nicolae Atanasescu	Adrian	University of Toronto
2021	13366288	Adrián Pignataro	Adrián	University of Costa Rica/Universidad de Costa Rica
2021	13077857	Adrian Rinscheid	Adrian	University of St.Gallen
2018	9304046	Adrian Weimer	Adrian	Providence College
2021	13665651	Adrian Zenz	Adrian	Victims of Communism Memorial Foundation
2018	8989128	Adriana Alfaro	Adriana	Instituto Tecnologico Autonomo de Mexico
2019	10119471	Adriana Alfaro	Adriana	Instituto Tecnologico Autonomo de Mexico
2020	11288039	Adriana Alfaro	Adriana	Instituto Tecnologico Autonomo de Mexico
2021	13107963	Adriana Alfaro	Adriana	Instituto Tecnologico Autonomo de Mexico
2018	8942745	Adriana Boersner	Adriana	University of Missouri
2019	10033912	Adriana Bunea	Adriana	University of Bergen
2020	11205367	Adriana Bunea	Adriana	University of Bergen
2021	13014084	Adriana Bunea	Adriana	University of Bergen
2018	9312680	Adriana Ortega Ortiz	Adriana	Mexican Supreme Court of Justice
2017	7858227	Adriane Fresh	Adriane	Stanford University
2018	9005487	Adriane Fresh	Adriane	Vanderbilt University
2020	11310954	Adriane Fresh	Adriane	Duke University
2021	13099182	Adriane Fresh	Adriane	Duke University
2020	11308461	Adrianna McIntyre	Adrianna	Harvard
2018	9312495	Adrianne Grubic	Adrianne	
2019	10059583	Adriano Udani	Adriano	University of Missouri, St. Louis
2020	11309123	Adriano Udani	Adriano	University of Missouri, St. Louis
2021	13097607	Adriano Udani	Adriano	University of Missouri, St. Louis
2020	12917894	Adrienne Adrienne	Adrienne	Morehouse College
2018	8942760	Adrienne Davidson	Adrienne	
2018	9311871	Adrienne Elizabeth Gathman	Adrienne	
2016	6865566	Adrienne Hosek	Adrienne	University of California, Davis
2018	8989144	Adrienne Hosek	Adrienne	University of California, Davis
2016	6862272	Adrienne LeBas	Adrienne	American University
2017	7959575	Adrienne LeBas	Adrienne	American University
2018	8942758	Adrienne LeBas	Adrienne	American University
2019	10118957	Adrienne LeBas	Adrienne	American University
2020	11308891	Adrienne LeBas	Adrienne	American University
2021	13097419	Adrienne LeBas	Adrienne	American University
2018	9312165	Adrienne Massanari	Adrienne	
2021	13078106	Adrienne Scott	Adrienne	Cornell University
2015	5645667	Adryan Wallace	Adryan	University of Hartford
2016	6868253	Adryan Wallace	Adryan	University of Hartford
2021	13093606	Adryan Wallace	Adryan	Stony Brook University
2019	10236705	Ae sil Woo	Ae sil	University of California, Merced
2020	11305336	Ae sil Woo	Ae sil	Gettysburg College
2019	10230891	Aeric Koerner	Aeric	American University
2019	10114051	Aeshna Badruzzaman	Aeshna	Northeastern University
2020	11282155	Aeshna Badruzzaman	Aeshna	Northeastern University
2021	13376866	Afonso Biscaia	Afonso	Instituto de Ciências Sociais - Universidade de Lisboa
2020	12277964	Afsoon Hansia	Afsoon	UC Santa Barbara
2017	7866281	Afsoun Afsahi	Afsoun	The University of British Columbia
2021	13101037	Afsoun Afsahi	Afsoun	University of British Columbia
2019	10234724	Agabek Kabdullin	Agabek	
2018	8954966	Agatha Anna Slupek	Agatha	University of Chicago
2021	13104465	Agatha Anna Slupek	Agatha	University of Chicago
2017	7893218	Agné Hans	Agné	Stockholm University
2019	10112640	Agnes Akkerman	Agnes	
2020	11310482	Agnes Akkerman	Agnes	
2020	12278306	Agnes Batory	Agnes	Central European University
2018	8947671	Agnes Cornell	Agnes	Lund University
2019	10114066	Agnes Cornell	Agnes	University of Gothenburg
2021	13099766	Agnes Cornell	Agnes	University of Gothenburg
2021	13401967	Agnes Lahai	Agnes	
2021	13261933	Agnes Yu	Agnes	London School of Economics
2020	11202525	Agnieszka Paczynska	Agnieszka	George Mason University
2021	13106238	Agnieszka Paczynska	Agnieszka	George Mason University
2018	9300887	Agnieszka Turska-Kawa	Agnieszka	University of Silesia in Katowice
2019	10111505	Agnieszka Turska-Kawa	Agnieszka	University of Silesia in Katowice
2021	13074882	Agnieszka Turska-Kawa	Agnieszka	University of Silesia in Katowice
2018	9005048	Agustin Alonso Goenaga Orrego	Agustin	Lund University
2019	10065063	Agustin Alonso Goenaga Orrego	Agustin	Lund University
2020	11188923	Agustin Alonso Goenaga Orrego	Agustin	Lund University
2021	13001602	Agustin Alonso Goenaga Orrego	Agustin	Lund University
2018	9005047	Agustin Vallejo	Agustin	Rice University
2020	11238214	Agustin Vallejo	Agustin	University of Houston
2021	13103825	Agustin Vallejo	Agustin	University of Houston
2015	5641235	Agustina Giraudy	Agustina	American University
2016	6863829	Agustina Giraudy	Agustina	American University
2017	7952554	Agustina Giraudy	Agustina	American University
2019	10062962	Agustina Giraudy	Agustina	American University
2021	13092997	Agustina Giraudy	Agustina	American University
2018	9005040	Agustina Haime	Agustina	Rice University
2017	7866325	Agustina S Paglayan	Agustina	Stanford University
2018	9023100	Agustina S Paglayan	Agustina	UCSD
2020	11310450	Agustina S Paglayan	Agustina	UCSD
2021	13098751	Agustina S Paglayan	Agustina	UCSD
2019	10080178	Agustina S. Paglayan	Agustina	UCSD
2019	10018625	Ahmed Abdrabou	Ahmed	University of Denver
2015	5647119	Ahmed Khanani	Ahmed	Department of Politics, Earlham College
2019	10215663	Ahmed Khattab	Ahmed	Georgetown University
2020	11284696	Ahmed Khattab	Ahmed	Georgetown University
2021	13078097	Ahmed Khattab	Ahmed	Georgetown University
2020	11187909	Ahmed Kodouda	Ahmed	The George Washington University
2018	9004585	Ahmed Mohamed	Ahmed	Columbia University
2019	10064606	Ahmed Mohamed	Ahmed	Columbia University
2020	11301231	Ahmed Mohamed	Ahmed	Columbia University
2021	13090295	Ahmed Mohamed	Ahmed	Columbia University
2018	8976976	Ahmed Morsy	Ahmed	American Political Science Association
2020	11266274	Ahmed Morsy	Ahmed	American Political Science Association
2021	13002551	Ahmed Morsy	Ahmed	American Political Science Association
2020	11304977	Ahmed Siddiqi	Ahmed	Emory University
2021	13039346	Ahmer Tarar	Ahmer	Texas A&M University
2021	13116577	Ahmet Akbiyik	Ahmet	
2021	13079617	Ahmet Erdi Ozturk	Ahmet	London Metropolitan University
2018	9012296	Ahmet Selim Tekelioglu	Ahmet	George Mason University
2015	5663559	Ahmet T. Kuru	Ahmet	San Diego State University
2020	11302922	Ahmet T. Kuru	Ahmet	San Diego State University
2018	9311541	Ahrum Chang	Ahrum	University of Georgia
2016	6861442	Ahsan Ishaq Butt	Ahsan	
2020	11310999	Ahsan Ishaq Butt	Ahsan	
2021	13099278	Ahsan Ishaq Butt	Ahsan	
2019	10065764	Ahu Sumbas	Ahu	Hacettepe University
2019	10111550	Ai Takahashi	Ai	
2018	9005917	Aida Just	Aida	Bilkent University
2021	13375728	Aida Ramusovic	Aida	University of Cincinnati
2019	10234188	Aidan Milliff	Aidan	Massachusetts Institute of Technology
2020	11308747	Aidan Milliff	Aidan	Massachusetts Institute of Technology
2021	13097293	Aidan Milliff	Aidan	Massachusetts Institute of Technology
